"metric","time_period","end_timestamp","value","created_date"
"profile_views","day","2021-08-10 07:00:00+00",53,"2021-08-11 12:00:51.866047+00"
"reach","day","2021-08-10 07:00:00+00",216,"2021-08-11 12:00:51.866047+00"
"website_clicks","day","2021-08-10 07:00:00+00",0,"2021-08-11 12:00:51.866047+00"
"impressions","day","2021-08-11 07:00:00+00",505,"2021-08-12 12:00:47.813127+00"
"profile_views","day","2021-08-11 07:00:00+00",44,"2021-08-12 12:00:47.813127+00"
"reach","day","2021-08-11 07:00:00+00",236,"2021-08-12 12:00:47.813127+00"
"website_clicks","day","2021-08-11 07:00:00+00",0,"2021-08-12 12:00:47.813127+00"
"impressions","day","2021-08-12 07:00:00+00",196,"2021-08-13 12:00:49.380338+00"
"profile_views","day","2021-08-12 07:00:00+00",37,"2021-08-13 12:00:49.380338+00"
"reach","day","2021-08-12 07:00:00+00",68,"2021-08-13 12:00:49.380338+00"
"website_clicks","day","2021-08-12 07:00:00+00",0,"2021-08-13 12:00:49.380338+00"
"impressions","day","2021-08-13 07:00:00+00",169,"2021-08-14 12:00:51.367716+00"
"profile_views","day","2021-08-13 07:00:00+00",38,"2021-08-14 12:00:51.367716+00"
"reach","day","2021-08-13 07:00:00+00",53,"2021-08-14 12:00:51.367716+00"
"website_clicks","day","2021-08-13 07:00:00+00",0,"2021-08-14 12:00:51.367716+00"
"impressions","day","2021-08-14 07:00:00+00",811,"2021-08-15 12:01:01.078728+00"
"profile_views","day","2021-08-14 07:00:00+00",34,"2021-08-15 12:01:01.078728+00"
"reach","day","2021-08-14 07:00:00+00",420,"2021-08-15 12:01:01.078728+00"
"website_clicks","day","2021-08-14 07:00:00+00",0,"2021-08-15 12:01:01.078728+00"
"impressions","day","2021-08-15 07:00:00+00",760,"2021-08-16 12:00:47.237413+00"
"profile_views","day","2021-08-15 07:00:00+00",56,"2021-08-16 12:00:47.237413+00"
"reach","day","2021-08-15 07:00:00+00",316,"2021-08-16 12:00:47.237413+00"
"website_clicks","day","2021-08-15 07:00:00+00",0,"2021-08-16 12:00:47.237413+00"
"impressions","day","2021-08-16 07:00:00+00",290,"2021-08-17 12:00:51.487435+00"
"profile_views","day","2021-08-16 07:00:00+00",44,"2021-08-17 12:00:51.487435+00"
"reach","day","2021-08-16 07:00:00+00",161,"2021-08-17 12:00:51.487435+00"
"website_clicks","day","2021-08-16 07:00:00+00",1,"2021-08-17 12:00:51.487435+00"
"impressions","day","2021-08-17 07:00:00+00",190,"2021-08-18 12:00:44.600887+00"
"profile_views","day","2021-08-17 07:00:00+00",49,"2021-08-18 12:00:44.600887+00"
"reach","day","2021-08-17 07:00:00+00",78,"2021-08-18 12:00:44.600887+00"
"website_clicks","day","2021-08-17 07:00:00+00",1,"2021-08-18 12:00:44.600887+00"
"impressions","day","2021-08-18 07:00:00+00",587,"2021-08-19 12:00:43.830112+00"
"profile_views","day","2021-08-18 07:00:00+00",31,"2021-08-19 12:00:43.830112+00"
"reach","day","2021-08-18 07:00:00+00",283,"2021-08-19 12:00:43.830112+00"
"website_clicks","day","2021-08-18 07:00:00+00",0,"2021-08-19 12:00:43.830112+00"
"impressions","day","2021-08-19 07:00:00+00",2770,"2021-08-20 12:00:40.561522+00"
"profile_views","day","2021-08-19 07:00:00+00",29,"2021-08-20 12:00:40.561522+00"
"reach","day","2021-08-19 07:00:00+00",2538,"2021-08-20 12:00:40.561522+00"
"website_clicks","day","2021-08-19 07:00:00+00",0,"2021-08-20 12:00:40.561522+00"
"impressions","day","2021-08-20 07:00:00+00",540,"2021-08-21 12:00:40.489161+00"
"profile_views","day","2021-08-20 07:00:00+00",40,"2021-08-21 12:00:40.489161+00"
"reach","day","2021-08-20 07:00:00+00",195,"2021-08-21 12:00:40.489161+00"
"website_clicks","day","2021-08-20 07:00:00+00",0,"2021-08-21 12:00:40.489161+00"
"impressions","day","2021-08-21 07:00:00+00",275,"2021-08-22 12:00:42.019973+00"
"profile_views","day","2021-08-21 07:00:00+00",24,"2021-08-22 12:00:42.019973+00"
"reach","day","2021-08-21 07:00:00+00",120,"2021-08-22 12:00:42.019973+00"
