"gender","age_range","follower_count","created_date","time_period","end_timestamp"
"U","45-54",6,"2021-07-29 12:00:43.647725+00","lifetime","2021-07-28 07:00:00+00"
"U","55-64",1,"2021-07-29 12:00:43.647725+00","lifetime","2021-07-28 07:00:00+00"
"F","18-24",16,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"F","25-34",112,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"F","35-44",38,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"F","45-54",8,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"F","55-64",6,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"F","65+",1,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"M","13-17",1,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"M","18-24",18,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"M","25-34",67,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"M","35-44",25,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"M","45-54",9,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"M","55-64",5,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"M","65+",1,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"U","13-17",3,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"U","18-24",30,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"U","25-34",71,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"U","35-44",19,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"U","45-54",6,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"U","55-64",1,"2021-07-30 12:00:40.343973+00","lifetime","2021-07-29 07:00:00+00"
"F","18-24",16,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"F","25-34",110,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"F","35-44",38,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"F","45-54",8,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"F","55-64",6,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"F","65+",1,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"M","13-17",1,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"M","18-24",18,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"M","25-34",68,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"M","35-44",25,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"M","45-54",10,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"M","55-64",5,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"M","65+",1,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"U","13-17",3,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"U","18-24",30,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"U","25-34",74,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"U","35-44",18,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"U","45-54",6,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"U","55-64",1,"2021-07-31 12:00:46.567521+00","lifetime","2021-07-30 07:00:00+00"
"F","18-24",16,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"F","25-34",112,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"F","35-44",39,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"F","45-54",9,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"F","55-64",6,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"F","65+",1,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"M","13-17",1,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"M","18-24",18,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"M","25-34",69,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"M","35-44",25,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"M","45-54",10,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"M","55-64",5,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"M","65+",1,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"U","13-17",3,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"U","18-24",31,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"U","25-34",74,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"U","35-44",18,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"U","45-54",6,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"U","55-64",1,"2021-08-01 12:00:42.779372+00","lifetime","2021-07-31 07:00:00+00"
"F","18-24",16,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"F","25-34",113,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"F","35-44",39,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"F","45-54",9,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"F","55-64",6,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"F","65+",1,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"M","13-17",1,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"M","18-24",18,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"M","25-34",69,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"M","35-44",25,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"M","45-54",10,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"M","55-64",5,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"M","65+",1,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"U","13-17",3,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"U","18-24",29,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"U","25-34",74,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"U","35-44",18,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"U","45-54",5,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"U","55-64",2,"2021-08-02 12:00:51.751035+00","lifetime","2021-08-01 07:00:00+00"
"F","18-24",18,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"F","25-34",113,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"F","35-44",39,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"F","45-54",9,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"F","55-64",6,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"F","65+",1,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"M","13-17",2,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"M","18-24",19,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"M","25-34",71,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"M","35-44",25,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"M","45-54",10,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"M","55-64",5,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"M","65+",1,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"U","13-17",3,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"U","18-24",29,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"U","25-34",71,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"U","35-44",18,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"U","45-54",5,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"U","55-64",2,"2021-08-03 12:00:42.340053+00","lifetime","2021-08-02 07:00:00+00"
"F","18-24",18,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"F","25-34",116,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"F","35-44",39,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"F","45-54",9,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"F","55-64",6,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"F","65+",1,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"M","13-17",2,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"M","18-24",19,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"M","25-34",70,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"M","35-44",25,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"M","45-54",10,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"M","55-64",4,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"M","65+",1,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"U","13-17",3,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"U","18-24",31,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"U","25-34",72,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"U","35-44",18,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"U","45-54",5,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"U","55-64",2,"2021-08-04 12:00:48.997029+00","lifetime","2021-08-03 07:00:00+00"
"F","18-24",20,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"F","25-34",116,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"F","35-44",38,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"F","45-54",9,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"F","55-64",7,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"F","65+",1,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"M","13-17",2,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"M","18-24",20,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"M","25-34",70,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"M","35-44",24,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"M","45-54",10,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"M","55-64",5,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"M","65+",1,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"U","13-17",3,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"U","18-24",31,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"U","25-34",72,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"U","35-44",18,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"U","45-54",6,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"U","55-64",2,"2021-08-05 12:01:03.06829+00","lifetime","2021-08-04 07:00:00+00"
"F","18-24",20,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"F","25-34",116,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"F","35-44",38,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"F","45-54",9,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"F","55-64",7,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"F","65+",1,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"M","13-17",2,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"M","18-24",20,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"M","25-34",70,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"M","35-44",24,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"M","45-54",10,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"M","55-64",5,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"M","65+",1,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"U","13-17",3,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"U","18-24",31,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"U","25-34",72,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"U","35-44",18,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"U","45-54",6,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"U","55-64",2,"2021-08-06 12:01:20.958026+00","lifetime","2021-08-05 07:00:00+00"
"F","18-24",21,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"F","25-34",116,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"F","35-44",40,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"F","45-54",9,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"F","55-64",7,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"F","65+",1,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"M","13-17",2,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"M","18-24",19,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"M","25-34",70,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"M","35-44",25,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"M","45-54",10,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"M","55-64",5,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"M","65+",1,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"U","13-17",3,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"U","18-24",34,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"U","25-34",73,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"U","35-44",19,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"U","45-54",6,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"U","55-64",2,"2021-08-07 12:00:58.537944+00","lifetime","2021-08-06 07:00:00+00"
"F","18-24",21,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"F","25-34",117,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"F","35-44",40,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
